Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17,Description,Precaution_1,Precaution_2,Precaution_3,Precaution_4
hepatitis d, joint_pain, vomiting, fatigue, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,"hepatitis d, also known as the hepatitis delta virus, is an infection that causes the liver to become inflamed. this swelling can impair liver function and cause long-term liver problems, including liver scarring and cancer. the condition is caused by the hepatitis d virus (hdv).",consult doctor,medication,eat healthy,follow up
hepatitis d, vomiting, fatigue, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,"hepatitis d, also known as the hepatitis delta virus, is an infection that causes the liver to become inflamed. this swelling can impair liver function and cause long-term liver problems, including liver scarring and cancer. the condition is caused by the hepatitis d virus (hdv).",consult doctor,medication,eat healthy,follow up
hepatitis d, joint_pain, fatigue, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,"hepatitis d, also known as the hepatitis delta virus, is an infection that causes the liver to become inflamed. this swelling can impair liver function and cause long-term liver problems, including liver scarring and cancer. the condition is caused by the hepatitis d virus (hdv).",consult doctor,medication,eat healthy,follow up
hepatitis d, joint_pain, vomiting, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,"hepatitis d, also known as the hepatitis delta virus, is an infection that causes the liver to become inflamed. this swelling can impair liver function and cause long-term liver problems, including liver scarring and cancer. the condition is caused by the hepatitis d virus (hdv).",consult doctor,medication,eat healthy,follow up
hepatitis d, joint_pain, vomiting, fatigue, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,"hepatitis d, also known as the hepatitis delta virus, is an infection that causes the liver to become inflamed. this swelling can impair liver function and cause long-term liver problems, including liver scarring and cancer. the condition is caused by the hepatitis d virus (hdv).",consult doctor,medication,eat healthy,follow up
hepatitis d, joint_pain, vomiting, fatigue, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,"hepatitis d, also known as the hepatitis delta virus, is an infection that causes the liver to become inflamed. this swelling can impair liver function and cause long-term liver problems, including liver scarring and cancer. the condition is caused by the hepatitis d virus (hdv).",consult doctor,medication,eat healthy,follow up
hepatitis d, joint_pain, vomiting, fatigue, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,"hepatitis d, also known as the hepatitis delta virus, is an infection that causes the liver to become inflamed. this swelling can impair liver function and cause long-term liver problems, including liver scarring and cancer. the condition is caused by the hepatitis d virus (hdv).",consult doctor,medication,eat healthy,follow up
hepatitis d, joint_pain, vomiting, fatigue, yellowish_skin, dark_urine, nausea, abdominal_pain, yellowing_of_eyes,,,,,,,,,,"hepatitis d, also known as the hepatitis delta virus, is an infection that causes the liver to become inflamed. this swelling can impair liver function and cause long-term liver problems, including liver scarring and cancer. the condition is caused by the hepatitis d virus (hdv).",consult doctor,medication,eat healthy,follow up
hepatitis d, joint_pain, vomiting, fatigue, yellowish_skin, dark_urine, nausea, loss_of_appetite, yellowing_of_eyes,,,,,,,,,,"hepatitis d, also known as the hepatitis delta virus, is an infection that causes the liver to become inflamed. this swelling can impair liver function and cause long-term liver problems, including liver scarring and cancer. the condition is caused by the hepatitis d virus (hdv).",consult doctor,medication,eat healthy,follow up
hepatitis d, joint_pain, vomiting, fatigue, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain,,,,,,,,,,"hepatitis d, also known as the hepatitis delta virus, is an infection that causes the liver to become inflamed. this swelling can impair liver function and cause long-term liver problems, including liver scarring and cancer. the condition is caused by the hepatitis d virus (hdv).",consult doctor,medication,eat healthy,follow up
hepatitis e, joint_pain, vomiting, fatigue, high_fever, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes, coma, stomach_bleeding,,,,,,a rare form of liver inflammation caused by infection with the hepatitis e virus (hev). it is transmitted via food or drink handled by an infected person or through infected water supplies in areas where fecal matter may get into the water. hepatitis e does not cause chronic liver disease.,stop alcohol consumption,rest,consult doctor,medication
hepatitis e, joint_pain, vomiting, fatigue, high_fever, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes, acute_liver_failure, coma, stomach_bleeding,,,,,a rare form of liver inflammation caused by infection with the hepatitis e virus (hev). it is transmitted via food or drink handled by an infected person or through infected water supplies in areas where fecal matter may get into the water. hepatitis e does not cause chronic liver disease.,stop alcohol consumption,rest,consult doctor,medication
hepatitis e, vomiting, fatigue, high_fever, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes, acute_liver_failure, coma, stomach_bleeding,,,,,,a rare form of liver inflammation caused by infection with the hepatitis e virus (hev). it is transmitted via food or drink handled by an infected person or through infected water supplies in areas where fecal matter may get into the water. hepatitis e does not cause chronic liver disease.,stop alcohol consumption,rest,consult doctor,medication
hepatitis e, joint_pain, fatigue, high_fever, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes, acute_liver_failure, coma, stomach_bleeding,,,,,,a rare form of liver inflammation caused by infection with the hepatitis e virus (hev). it is transmitted via food or drink handled by an infected person or through infected water supplies in areas where fecal matter may get into the water. hepatitis e does not cause chronic liver disease.,stop alcohol consumption,rest,consult doctor,medication
hepatitis e, joint_pain, vomiting, high_fever, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes, acute_liver_failure, coma, stomach_bleeding,,,,,,a rare form of liver inflammation caused by infection with the hepatitis e virus (hev). it is transmitted via food or drink handled by an infected person or through infected water supplies in areas where fecal matter may get into the water. hepatitis e does not cause chronic liver disease.,stop alcohol consumption,rest,consult doctor,medication
hepatitis e, joint_pain, vomiting, fatigue, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes, acute_liver_failure, coma, stomach_bleeding,,,,,,a rare form of liver inflammation caused by infection with the hepatitis e virus (hev). it is transmitted via food or drink handled by an infected person or through infected water supplies in areas where fecal matter may get into the water. hepatitis e does not cause chronic liver disease.,stop alcohol consumption,rest,consult doctor,medication
hepatitis e, joint_pain, vomiting, fatigue, high_fever, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes, acute_liver_failure, coma, stomach_bleeding,,,,,,a rare form of liver inflammation caused by infection with the hepatitis e virus (hev). it is transmitted via food or drink handled by an infected person or through infected water supplies in areas where fecal matter may get into the water. hepatitis e does not cause chronic liver disease.,stop alcohol consumption,rest,consult doctor,medication
hepatitis e, joint_pain, vomiting, fatigue, high_fever, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes, acute_liver_failure, coma, stomach_bleeding,,,,,,a rare form of liver inflammation caused by infection with the hepatitis e virus (hev). it is transmitted via food or drink handled by an infected person or through infected water supplies in areas where fecal matter may get into the water. hepatitis e does not cause chronic liver disease.,stop alcohol consumption,rest,consult doctor,medication
hepatitis e, joint_pain, vomiting, fatigue, high_fever, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain, yellowing_of_eyes, acute_liver_failure, coma, stomach_bleeding,,,,,,a rare form of liver inflammation caused by infection with the hepatitis e virus (hev). it is transmitted via food or drink handled by an infected person or through infected water supplies in areas where fecal matter may get into the water. hepatitis e does not cause chronic liver disease.,stop alcohol consumption,rest,consult doctor,medication
alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach, distention_of_abdomen, history_of_alcohol_consumption, fluid_overload,,,,,,,,,,,"alcoholic hepatitis is a diseased, inflammatory condition of the liver caused by heavy alcohol consumption over an extended period of time. it's also aggravated by binge drinking and ongoing alcohol use. if you develop this condition, you must stop drinking alcohol",stop alcohol consumption,consult doctor,medication,follow up
alcoholic hepatitis, yellowish_skin, abdominal_pain, swelling_of_stomach, distention_of_abdomen, history_of_alcohol_consumption, fluid_overload,,,,,,,,,,,,"alcoholic hepatitis is a diseased, inflammatory condition of the liver caused by heavy alcohol consumption over an extended period of time. it's also aggravated by binge drinking and ongoing alcohol use. if you develop this condition, you must stop drinking alcohol",stop alcohol consumption,consult doctor,medication,follow up
alcoholic hepatitis, vomiting, abdominal_pain, swelling_of_stomach, distention_of_abdomen, history_of_alcohol_consumption, fluid_overload,,,,,,,,,,,,"alcoholic hepatitis is a diseased, inflammatory condition of the liver caused by heavy alcohol consumption over an extended period of time. it's also aggravated by binge drinking and ongoing alcohol use. if you develop this condition, you must stop drinking alcohol",stop alcohol consumption,consult doctor,medication,follow up
alcoholic hepatitis, vomiting, yellowish_skin, swelling_of_stomach, distention_of_abdomen, history_of_alcohol_consumption, fluid_overload,,,,,,,,,,,,"alcoholic hepatitis is a diseased, inflammatory condition of the liver caused by heavy alcohol consumption over an extended period of time. it's also aggravated by binge drinking and ongoing alcohol use. if you develop this condition, you must stop drinking alcohol",stop alcohol consumption,consult doctor,medication,follow up
alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, distention_of_abdomen, history_of_alcohol_consumption, fluid_overload,,,,,,,,,,,,"alcoholic hepatitis is a diseased, inflammatory condition of the liver caused by heavy alcohol consumption over an extended period of time. it's also aggravated by binge drinking and ongoing alcohol use. if you develop this condition, you must stop drinking alcohol",stop alcohol consumption,consult doctor,medication,follow up
alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach, history_of_alcohol_consumption, fluid_overload,,,,,,,,,,,,"alcoholic hepatitis is a diseased, inflammatory condition of the liver caused by heavy alcohol consumption over an extended period of time. it's also aggravated by binge drinking and ongoing alcohol use. if you develop this condition, you must stop drinking alcohol",stop alcohol consumption,consult doctor,medication,follow up
alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach, distention_of_abdomen, fluid_overload,,,,,,,,,,,,"alcoholic hepatitis is a diseased, inflammatory condition of the liver caused by heavy alcohol consumption over an extended period of time. it's also aggravated by binge drinking and ongoing alcohol use. if you develop this condition, you must stop drinking alcohol",stop alcohol consumption,consult doctor,medication,follow up
alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach, distention_of_abdomen, history_of_alcohol_consumption,,,,,,,,,,,,"alcoholic hepatitis is a diseased, inflammatory condition of the liver caused by heavy alcohol consumption over an extended period of time. it's also aggravated by binge drinking and ongoing alcohol use. if you develop this condition, you must stop drinking alcohol",stop alcohol consumption,consult doctor,medication,follow up
tuberculosis, chills, vomiting, fatigue, weight_loss, cough, high_fever, breathlessness, sweating, loss_of_appetite, mild_fever, yellowing_of_eyes, swelled_lymph_nodes, malaise, phlegm, chest_pain, blood_in_sputum,,"tuberculosis (tb) is an infectious disease usually caused by mycobacterium tuberculosis (mtb) bacteria. tuberculosis generally affects the lungs, but can also affect other parts of the body. most infections show no symptoms, in which case it is known as latent tuberculosis.",cover mouth,consult doctor,medication,rest
tuberculosis, vomiting, fatigue, weight_loss, cough, high_fever, breathlessness, sweating, loss_of_appetite, mild_fever, yellowing_of_eyes, swelled_lymph_nodes, malaise, phlegm, chest_pain, blood_in_sputum,,,"tuberculosis (tb) is an infectious disease usually caused by mycobacterium tuberculosis (mtb) bacteria. tuberculosis generally affects the lungs, but can also affect other parts of the body. most infections show no symptoms, in which case it is known as latent tuberculosis.",cover mouth,consult doctor,medication,rest
tuberculosis, chills, fatigue, weight_loss, cough, high_fever, breathlessness, sweating, loss_of_appetite, mild_fever, yellowing_of_eyes, swelled_lymph_nodes, malaise, phlegm, chest_pain, blood_in_sputum,,,"tuberculosis (tb) is an infectious disease usually caused by mycobacterium tuberculosis (mtb) bacteria. tuberculosis generally affects the lungs, but can also affect other parts of the body. most infections show no symptoms, in which case it is known as latent tuberculosis.",cover mouth,consult doctor,medication,rest
tuberculosis, chills, vomiting, weight_loss, cough, high_fever, breathlessness, sweating, loss_of_appetite, mild_fever, yellowing_of_eyes, swelled_lymph_nodes, malaise, phlegm, chest_pain, blood_in_sputum,,,"tuberculosis (tb) is an infectious disease usually caused by mycobacterium tuberculosis (mtb) bacteria. tuberculosis generally affects the lungs, but can also affect other parts of the body. most infections show no symptoms, in which case it is known as latent tuberculosis.",cover mouth,consult doctor,medication,rest
tuberculosis, chills, vomiting, fatigue, cough, high_fever, breathlessness, sweating, loss_of_appetite, mild_fever, yellowing_of_eyes, swelled_lymph_nodes, malaise, phlegm, chest_pain, blood_in_sputum,,,"tuberculosis (tb) is an infectious disease usually caused by mycobacterium tuberculosis (mtb) bacteria. tuberculosis generally affects the lungs, but can also affect other parts of the body. most infections show no symptoms, in which case it is known as latent tuberculosis.",cover mouth,consult doctor,medication,rest
tuberculosis, chills, vomiting, fatigue, weight_loss, high_fever, breathlessness, sweating, loss_of_appetite, mild_fever, yellowing_of_eyes, swelled_lymph_nodes, malaise, phlegm, chest_pain, blood_in_sputum,,,"tuberculosis (tb) is an infectious disease usually caused by mycobacterium tuberculosis (mtb) bacteria. tuberculosis generally affects the lungs, but can also affect other parts of the body. most infections show no symptoms, in which case it is known as latent tuberculosis.",cover mouth,consult doctor,medication,rest
tuberculosis, chills, vomiting, fatigue, weight_loss, cough, breathlessness, sweating, loss_of_appetite, mild_fever, yellowing_of_eyes, swelled_lymph_nodes, malaise, phlegm, chest_pain, blood_in_sputum,,,"tuberculosis (tb) is an infectious disease usually caused by mycobacterium tuberculosis (mtb) bacteria. tuberculosis generally affects the lungs, but can also affect other parts of the body. most infections show no symptoms, in which case it is known as latent tuberculosis.",cover mouth,consult doctor,medication,rest
tuberculosis, chills, vomiting, fatigue, weight_loss, cough, high_fever, sweating, loss_of_appetite, mild_fever, yellowing_of_eyes, swelled_lymph_nodes, malaise, phlegm, chest_pain, blood_in_sputum,,,"tuberculosis (tb) is an infectious disease usually caused by mycobacterium tuberculosis (mtb) bacteria. tuberculosis generally affects the lungs, but can also affect other parts of the body. most infections show no symptoms, in which case it is known as latent tuberculosis.",cover mouth,consult doctor,medication,rest
tuberculosis, chills, vomiting, fatigue, weight_loss, cough, high_fever, breathlessness, loss_of_appetite, mild_fever, yellowing_of_eyes, swelled_lymph_nodes, malaise, phlegm, chest_pain, blood_in_sputum,,,"tuberculosis (tb) is an infectious disease usually caused by mycobacterium tuberculosis (mtb) bacteria. tuberculosis generally affects the lungs, but can also affect other parts of the body. most infections show no symptoms, in which case it is known as latent tuberculosis.",cover mouth,consult doctor,medication,rest
common cold, continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain,"the common cold is a viral infection of your nose and throat (upper respiratory tract). it's usually harmless, although it might not feel that way. many types of viruses can cause a common cold.",drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
common cold, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain,,"the common cold is a viral infection of your nose and throat (upper respiratory tract). it's usually harmless, although it might not feel that way. many types of viruses can cause a common cold.",drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
common cold, continuous_sneezing, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain,,"the common cold is a viral infection of your nose and throat (upper respiratory tract). it's usually harmless, although it might not feel that way. many types of viruses can cause a common cold.",drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
common cold, continuous_sneezing, chills, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain,,"the common cold is a viral infection of your nose and throat (upper respiratory tract). it's usually harmless, although it might not feel that way. many types of viruses can cause a common cold.",drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
common cold, continuous_sneezing, chills, fatigue, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain,,"the common cold is a viral infection of your nose and throat (upper respiratory tract). it's usually harmless, although it might not feel that way. many types of viruses can cause a common cold.",drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
common cold, continuous_sneezing, chills, fatigue, cough, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain,,"the common cold is a viral infection of your nose and throat (upper respiratory tract). it's usually harmless, although it might not feel that way. many types of viruses can cause a common cold.",drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
common cold, continuous_sneezing, chills, fatigue, cough, high_fever, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain,,"the common cold is a viral infection of your nose and throat (upper respiratory tract). it's usually harmless, although it might not feel that way. many types of viruses can cause a common cold.",drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
common cold, continuous_sneezing, chills, fatigue, cough, high_fever, headache, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain,,"the common cold is a viral infection of your nose and throat (upper respiratory tract). it's usually harmless, although it might not feel that way. many types of viruses can cause a common cold.",drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
common cold, continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain,,"the common cold is a viral infection of your nose and throat (upper respiratory tract). it's usually harmless, although it might not feel that way. many types of viruses can cause a common cold.",drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
pneumonia, chills, fatigue, cough, high_fever, breathlessness, sweating, malaise, chest_pain, fast_heart_rate, rusty_sputum,,,,,,,,"pneumonia is an infection in one or both lungs. bacteria, viruses, and fungi cause it. the infection causes inflammation in the air sacs in your lungs, which are called alveoli. the alveoli fill with fluid or pus, making it difficult to breathe.",consult doctor,medication,rest,follow up
pneumonia, chills, fatigue, cough, high_fever, breathlessness, sweating, malaise, phlegm, chest_pain, fast_heart_rate, rusty_sputum,,,,,,,"pneumonia is an infection in one or both lungs. bacteria, viruses, and fungi cause it. the infection causes inflammation in the air sacs in your lungs, which are called alveoli. the alveoli fill with fluid or pus, making it difficult to breathe.",consult doctor,medication,rest,follow up
pneumonia, fatigue, cough, high_fever, breathlessness, sweating, malaise, phlegm, chest_pain, fast_heart_rate, rusty_sputum,,,,,,,,"pneumonia is an infection in one or both lungs. bacteria, viruses, and fungi cause it. the infection causes inflammation in the air sacs in your lungs, which are called alveoli. the alveoli fill with fluid or pus, making it difficult to breathe.",consult doctor,medication,rest,follow up
pneumonia, chills, cough, high_fever, breathlessness, sweating, malaise, phlegm, chest_pain, fast_heart_rate, rusty_sputum,,,,,,,,"pneumonia is an infection in one or both lungs. bacteria, viruses, and fungi cause it. the infection causes inflammation in the air sacs in your lungs, which are called alveoli. the alveoli fill with fluid or pus, making it difficult to breathe.",consult doctor,medication,rest,follow up
pneumonia, chills, fatigue, high_fever, breathlessness, sweating, malaise, phlegm, chest_pain, fast_heart_rate, rusty_sputum,,,,,,,,"pneumonia is an infection in one or both lungs. bacteria, viruses, and fungi cause it. the infection causes inflammation in the air sacs in your lungs, which are called alveoli. the alveoli fill with fluid or pus, making it difficult to breathe.",consult doctor,medication,rest,follow up
pneumonia, chills, fatigue, cough, breathlessness, sweating, malaise, phlegm, chest_pain, fast_heart_rate, rusty_sputum,,,,,,,,"pneumonia is an infection in one or both lungs. bacteria, viruses, and fungi cause it. the infection causes inflammation in the air sacs in your lungs, which are called alveoli. the alveoli fill with fluid or pus, making it difficult to breathe.",consult doctor,medication,rest,follow up
pneumonia, chills, fatigue, cough, high_fever, sweating, malaise, phlegm, chest_pain, fast_heart_rate, rusty_sputum,,,,,,,,"pneumonia is an infection in one or both lungs. bacteria, viruses, and fungi cause it. the infection causes inflammation in the air sacs in your lungs, which are called alveoli. the alveoli fill with fluid or pus, making it difficult to breathe.",consult doctor,medication,rest,follow up
pneumonia, chills, fatigue, cough, high_fever, breathlessness, malaise, phlegm, chest_pain, fast_heart_rate, rusty_sputum,,,,,,,,"pneumonia is an infection in one or both lungs. bacteria, viruses, and fungi cause it. the infection causes inflammation in the air sacs in your lungs, which are called alveoli. the alveoli fill with fluid or pus, making it difficult to breathe.",consult doctor,medication,rest,follow up
pneumonia, chills, fatigue, cough, high_fever, breathlessness, sweating, phlegm, chest_pain, fast_heart_rate, rusty_sputum,,,,,,,,"pneumonia is an infection in one or both lungs. bacteria, viruses, and fungi cause it. the infection causes inflammation in the air sacs in your lungs, which are called alveoli. the alveoli fill with fluid or pus, making it difficult to breathe.",consult doctor,medication,rest,follow up
dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool, irritation_in_anus,,,,,,,,,,,,,,avoid fatty spicy food,consume witch hazel,warm bath with epsom salt,consume alovera juice
dimorphic hemmorhoids(piles), pain_during_bowel_movements, pain_in_anal_region, bloody_stool, irritation_in_anus,,,,,,,,,,,,,,,avoid fatty spicy food,consume witch hazel,warm bath with epsom salt,consume alovera juice
dimorphic hemmorhoids(piles), constipation, pain_in_anal_region, bloody_stool, irritation_in_anus,,,,,,,,,,,,,,,avoid fatty spicy food,consume witch hazel,warm bath with epsom salt,consume alovera juice
dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, bloody_stool, irritation_in_anus,,,,,,,,,,,,,,,avoid fatty spicy food,consume witch hazel,warm bath with epsom salt,consume alovera juice
dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, irritation_in_anus,,,,,,,,,,,,,,,avoid fatty spicy food,consume witch hazel,warm bath with epsom salt,consume alovera juice
dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool,,,,,,,,,,,,,,,avoid fatty spicy food,consume witch hazel,warm bath with epsom salt,consume alovera juice
heart attack, vomiting, breathlessness, sweating, chest_pain,,,,,,,,,,,,,,"the death of heart muscle due to the loss of blood supply. the loss of blood supply is usually caused by a complete blockage of a coronary artery, one of the arteries that supplies blood to the heart muscle.",call ambulance,chew or swallow asprin,keep calm,
heart attack, breathlessness, sweating, chest_pain,,,,,,,,,,,,,,,"the death of heart muscle due to the loss of blood supply. the loss of blood supply is usually caused by a complete blockage of a coronary artery, one of the arteries that supplies blood to the heart muscle.",call ambulance,chew or swallow asprin,keep calm,
heart attack, vomiting, sweating, chest_pain,,,,,,,,,,,,,,,"the death of heart muscle due to the loss of blood supply. the loss of blood supply is usually caused by a complete blockage of a coronary artery, one of the arteries that supplies blood to the heart muscle.",call ambulance,chew or swallow asprin,keep calm,
heart attack, vomiting, breathlessness, chest_pain,,,,,,,,,,,,,,,"the death of heart muscle due to the loss of blood supply. the loss of blood supply is usually caused by a complete blockage of a coronary artery, one of the arteries that supplies blood to the heart muscle.",call ambulance,chew or swallow asprin,keep calm,
heart attack, vomiting, breathlessness, sweating,,,,,,,,,,,,,,,"the death of heart muscle due to the loss of blood supply. the loss of blood supply is usually caused by a complete blockage of a coronary artery, one of the arteries that supplies blood to the heart muscle.",call ambulance,chew or swallow asprin,keep calm,
varicose veins, fatigue, cramps, bruising, obesity, swollen_legs, swollen_blood_vessels, prominent_veins_on_calf,,,,,,,,,,,"a vein that has enlarged and twisted, often appearing as a bulging, blue blood vessel that is clearly visible through the skin. varicose veins are most common in older adults, particularly women, and occur especially on the legs.",lie down flat and raise the leg high,use oinments,use vein compression,dont stand still for long
varicose veins, cramps, bruising, obesity, swollen_legs, swollen_blood_vessels, prominent_veins_on_calf,,,,,,,,,,,,"a vein that has enlarged and twisted, often appearing as a bulging, blue blood vessel that is clearly visible through the skin. varicose veins are most common in older adults, particularly women, and occur especially on the legs.",lie down flat and raise the leg high,use oinments,use vein compression,dont stand still for long
varicose veins, fatigue, bruising, obesity, swollen_legs, swollen_blood_vessels, prominent_veins_on_calf,,,,,,,,,,,,"a vein that has enlarged and twisted, often appearing as a bulging, blue blood vessel that is clearly visible through the skin. varicose veins are most common in older adults, particularly women, and occur especially on the legs.",lie down flat and raise the leg high,use oinments,use vein compression,dont stand still for long
varicose veins, fatigue, cramps, obesity, swollen_legs, swollen_blood_vessels, prominent_veins_on_calf,,,,,,,,,,,,"a vein that has enlarged and twisted, often appearing as a bulging, blue blood vessel that is clearly visible through the skin. varicose veins are most common in older adults, particularly women, and occur especially on the legs.",lie down flat and raise the leg high,use oinments,use vein compression,dont stand still for long
varicose veins, fatigue, cramps, bruising, swollen_legs, swollen_blood_vessels, prominent_veins_on_calf,,,,,,,,,,,,"a vein that has enlarged and twisted, often appearing as a bulging, blue blood vessel that is clearly visible through the skin. varicose veins are most common in older adults, particularly women, and occur especially on the legs.",lie down flat and raise the leg high,use oinments,use vein compression,dont stand still for long
varicose veins, fatigue, cramps, bruising, obesity, swollen_blood_vessels, prominent_veins_on_calf,,,,,,,,,,,,"a vein that has enlarged and twisted, often appearing as a bulging, blue blood vessel that is clearly visible through the skin. varicose veins are most common in older adults, particularly women, and occur especially on the legs.",lie down flat and raise the leg high,use oinments,use vein compression,dont stand still for long
varicose veins, fatigue, cramps, bruising, obesity, swollen_legs, prominent_veins_on_calf,,,,,,,,,,,,"a vein that has enlarged and twisted, often appearing as a bulging, blue blood vessel that is clearly visible through the skin. varicose veins are most common in older adults, particularly women, and occur especially on the legs.",lie down flat and raise the leg high,use oinments,use vein compression,dont stand still for long
varicose veins, fatigue, cramps, bruising, obesity, swollen_legs, swollen_blood_vessels,,,,,,,,,,,,"a vein that has enlarged and twisted, often appearing as a bulging, blue blood vessel that is clearly visible through the skin. varicose veins are most common in older adults, particularly women, and occur especially on the legs.",lie down flat and raise the leg high,use oinments,use vein compression,dont stand still for long
hypothyroidism, fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation,,,,,"hypothyroidism, also called underactive thyroid or low thyroid, is a disorder of the endocrine system in which the thyroid gland does not produce enough thyroid hormone.",reduce stress,exercise,eat healthy,get proper sleep
hypothyroidism, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation,,,,,,"hypothyroidism, also called underactive thyroid or low thyroid, is a disorder of the endocrine system in which the thyroid gland does not produce enough thyroid hormone.",reduce stress,exercise,eat healthy,get proper sleep
hypothyroidism, fatigue, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation,,,,,,"hypothyroidism, also called underactive thyroid or low thyroid, is a disorder of the endocrine system in which the thyroid gland does not produce enough thyroid hormone.",reduce stress,exercise,eat healthy,get proper sleep
hypothyroidism, fatigue, weight_gain, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation,,,,,,"hypothyroidism, also called underactive thyroid or low thyroid, is a disorder of the endocrine system in which the thyroid gland does not produce enough thyroid hormone.",reduce stress,exercise,eat healthy,get proper sleep
